,ASU,KU Leuven,NTUT,Paderborn,PoliTO,Sydney,Tribhuvan,Tsinghua,TUDelft,UTK,XJTU,gmean,std,error
0,19468.76872671368,9589.427734375,27887.411287982904,16656.904296875,17021.334756868,15540.2509765625,10467.55078125,17431.97042994482,16045.21987686458,26255.951171875,16760.431640625,16772.70956596146,0.31604507785245517,0.051996391911097714
1,41549.602552896285,21936.03125,65966.25558792774,38826.27734375,37906.14045818707,33602.625,90248.171875,36256.35829829677,36719.15936089648,56966.0625,38252.08203125,42313.26478188865,0.41785414337896715,0.011940493231556605
2,24162.091759131406,9589.427734375,34740.37661663263,22144.205078125,21223.802700689277,22482.853515625,12376.0087890625,21495.642640797036,22553.32099286233,33787.96875,21176.2421875,21079.43660129523,0.33301123115803555,0.014668171299676836
3,50614.89844676094,27389.1875,78417.01719836541,48642.7578125,45964.64728333604,54162.90625,111205.296875,44585.88681366161,48571.4391615855,70541.890625,48114.125,53723.816870227565,0.39159585960716087,0.00858989447618855
4,30977.7699197708,9589.427734375,40842.15399607141,27846.291015625,26673.74490151529,33621.1328125,16463.4296875,26790.176955511924,28254.285794513005,39587.66015625,26328.611328125,26165.301556776536,0.32403330971296773,0.04203654774188862
5,66929.04217106312,46627.69921875,90486.1211687389,61527.6953125,58772.19955625319,71858.0703125,54708.38671875,54991.713120898086,61090.35393784388,87078.890625,61153.88671875,63842.64332232398,0.20704623747108378,0.01817522145057008
6,290828.9057495871,258888.40625,382407.6307428973,267601.28125,258413.061317632,281995.9375,261002.9375,287263.82473189774,269356.65033129416,418043.5625,273430.96875,291598.9491311783,0.18135357837581578,0.008935659507496814
7,19450.500759485785,9589.427734375,25699.43324042869,15488.6884765625,15949.737412741835,17695.60546875,13064.0029296875,16275.990811482347,16008.935043703324,27944.755859375,15548.5244140625,16845.264851973727,0.3000830726269426,0.029837218261856507
8,41397.630718657616,9589.427734375,50221.53097152391,34953.6015625,34031.60923509668,43742.06640625,22265.78125,32226.172379880845,36786.0310569,50235.015625,34182.4453125,32783.92967370536,0.3339901612899169,0.045312163415436126
9,86807.22980532322,75734.8984375,110652.1491836079,77155.8671875,74704.42088139846,88858.1015625,68606.1328125,67453.78961948084,79377.52861179283,115056.7421875,77839.28125,82628.03798605011,0.18774548754673157,0.023531090237968875
10,172967.94893476393,146325.8125,223336.93704744373,150100.5625,147346.66899453814,155975.25,159580.609375,155546.67825171928,157739.0513206122,232987.390625,151404.8125,166316.11504567566,0.18076562402873764,0.027086732709791596
